title,id,1depth,2depth,3depth,parent_community,depth,title_en,title_ko,title_ja,title_zh_hans,title_zh_hant,title_es,title_ru,title_ar
Etc,1001,기타,,,,1,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Game,1002,게임,,,,1,Game,게임,ゲーム,游戏,遊戲,juego,игра,لعبة
Role Playing,1003,게임,롤플레잉,,게임,2,Role Playing,롤플레잉,ロールプレイング,角色扮演,角色扮演,juego de rol,ролевая игра,لعب الأدوار
Action Rpg,1004,게임,롤플레잉,액션 RPG,게임,3,Action Rpg,액션 RPG,アクションRPG,动作角色扮演游戏,動作角色扮演遊戲,Juego de rol de acción,Экшен-РПГ,أكشن آر بي جي
Adventure Rpg,1005,게임,롤플레잉,어드벤처 RPG,게임,3,Adventure Rpg,어드벤처 RPG,アドベンチャーRPG,冒险角色扮演游戏,冒險角色扮演遊戲,Juego de rol de aventuras,Приключенческая ролевая игра,مغامرة آر بي جي
Casual,1006,게임,롤플레잉,캐주얼,게임,3,Casual,캐주얼,カジュアル,随意的,隨意的,casual,повседневный,غير رسمي
Jrpg,1007,게임,롤플레잉,JRPG,게임,3,Jrpg,JRPG,JRPG,日式角色扮演游戏,日式角色扮演遊戲,JRPG,Японская ролевая игра,JRPG
Party Rpg,1008,게임,롤플레잉,파티 RPG,게임,3,Party Rpg,파티 RPG,パーティーRPG,派对角色扮演游戏,派對角色扮演遊戲,juego de rol de fiesta,партийная ролевая игра,آر بي جي الحزب
Strategy Rpg,1009,게임,롤플레잉,전략 RPG,게임,3,Strategy Rpg,전략 RPG,戦略RPG,策略角色扮演游戏,策略角色扮演遊戲,Juego de rol de estrategia,Стратегическая ролевая игра,استراتيجية آر بي جي
Roguelike,1010,게임,롤플레잉,로그라이크,게임,3,Roguelike,로그라이크,ログライク,Roguelike,Roguelike,pícaro,Рогалик,روجلايك
Etc,1011,게임,롤플레잉,기타,게임,3,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
Simulation,1012,게임,시뮬레이션,,게임,2,Simulation,시뮬레이션,シミュレーション,模拟,模擬,simulación,моделирование,محاكاة
Fps/Shooting,1013,게임,FPS/슈팅,,게임,2,Fps/Shooting,FPS/슈팅,FPS/シューティング,第一人称射击/射击,第一人稱射擊/射擊,FPS/Disparo,Шутер от первого лица/стрельба,إطارا في الثانية/إطلاق النار
Fortress,1014,게임,FPS/슈팅,포트리스,게임,3,Fortress,포트리스,フォートレス,堡垒,堡壘,fortaleza,крепость,قلعة
Arcade,1015,게임,FPS/슈팅,아케이드,게임,3,Arcade,아케이드,アーケード,拱廊,拱廊,arcada,аркада,ممر
Arena,1016,게임,FPS/슈팅,아레나,게임,3,Arena,아레나,アリーナ,竞技场,競技場,arena,арена,الساحة
Battle Royale,1017,게임,FPS/슈팅,배틀 로얄,게임,3,Battle Royale,배틀 로얄,バトルロイヤル,大逃杀,大逃殺,batalla real,королевская битва,معركة رويال
Military,1018,게임,FPS/슈팅,밀리터리,게임,3,Military,밀리터리,ミリタリー,军队,軍隊,militar,военный,جيش
Hero,1019,게임,FPS/슈팅,영웅,게임,3,Hero,영웅,ヒーロー,英雄,英雄,héroe,герой,بطل
Platform,1020,게임,FPS/슈팅,플랫폼,게임,3,Platform,플랫폼,プラットフォーム,平台,平台,plataforma,Платформа,منصة
Roguelike,1021,게임,FPS/슈팅,로그라이크,게임,3,Roguelike,로그라이크,ログライク,Roguelike,Roguelike,pícaro,Рогалик,روجلايك
Etc,1022,게임,FPS/슈팅,기타,게임,3,Etc,기타,その他,ETC,ETC,etc.,и т. д.,إلخ
