"title","1depth","2depth","3depth","parent_community","depth","title_en","title_ko","title_ja","title_zh_hans","title_zh_hant","title_es","title_ru","title_ar"
"Game","게임","","","",1,"Game","게임","ゲーム","游戏","遊戲","juego","игра","لعبة"
"Role -Playing","게임","롤플레잉","","게임",2,"Role -Playing","롤플레잉","ロール・プレイング","角色扮演","角色扮演","Juego de rol","Роль -Игра","لعب الأدوار"
"Action Rpg","게임","롤플레잉","액션 RPG","게임",3,"Action Rpg","액션 RPG","アクションRPG","动作RPG","動作RPG","RPG de acción","Действие RPG","عمل RPG"
"Adventure Rpg","게임","롤플레잉","어드벤처 RPG","게임",3,"Adventure Rpg","어드벤처 RPG","アドベンチャーRPG","冒险RPG","冒險RPG","RPG de aventura","Приключение RPG","المغامرة RPG"
"Casual","게임","롤플레잉","캐주얼","게임",3,"Casual","캐주얼","カジュアル","随意的","隨意的","casual","повседневный","غير رسمي"
"Jrpg","게임","롤플레잉","JRPG","게임",3,"Jrpg","JRPG","jrpg","JRPG","JRPG","Jrpg","Jrpg","JRPG"
"Party Rpg","게임","롤플레잉","파티 RPG","게임",3,"Party Rpg","파티 RPG","パーティーRPG","聚会RPG","聚會RPG","RPG de fiesta","Партия RPG","حزب RPG"
"Strategic Rpg","게임","롤플레잉","전략 RPG","게임",3,"Strategic Rpg","전략 RPG","戦略的RPG","战略性RPG","戰略性RPG","RPG estratégico","Стратегическая RPG","RPG الاستراتيجية"
"Loglike","게임","롤플레잉","로그라이크","게임",3,"Loglike","로그라이크","loglike","logike","logike","Como log","Логически похожий","loglike"
"Etc","게임","롤플레잉","기타","게임",3,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Simulation","게임","시뮬레이션","","게임",2,"Simulation","시뮬레이션","シミュレーション","模拟","模擬","simulación","симуляция","محاكاة"
"Fps/Shooting","게임","FPS/슈팅","","게임",2,"Fps/Shooting","FPS/슈팅","FPS/射撃","FPS/射击","FPS/射擊","FPS/disparos","FPS/стрельба","FPS/إطلاق النار"
"Fortress","게임","FPS/슈팅","포트리스","게임",3,"Fortress","포트리스","要塞","堡垒","堡壘","Fortaleza","Крепость","قلعة"
"Arcade","게임","FPS/슈팅","아케이드","게임",3,"Arcade","아케이드","アーケード","拱廊","拱廊","arcada","аркада","ممر"
"Arena","게임","FPS/슈팅","아레나","게임",3,"Arena","아레나","アリーナ","竞技场","競技場","Arena","Арена","الساحة"
"Battle Royale","게임","FPS/슈팅","배틀 로얄","게임",3,"Battle Royale","배틀 로얄","バトルロワイアル","大皇家队","大皇家隊","Batalla real","Битва Рояль","معركة رويال"
"Military","게임","FPS/슈팅","밀리터리","게임",3,"Military","밀리터리","軍隊","军队","軍隊","militar","военный","جيش"
"Hero","게임","FPS/슈팅","영웅","게임",3,"Hero","영웅","ヒーロー","英雄","英雄","héroe","герой","بطل"
"Platform","게임","FPS/슈팅","플랫폼","게임",3,"Platform","플랫폼","プラットホーム","平台","平台","plataforma","Платформа","منصة"
"Loglike","게임","FPS/슈팅","로그라이크","게임",3,"Loglike","로그라이크","loglike","logike","logike","Como log","Логически похожий","loglike"
"Etc","게임","FPS/슈팅","기타","게임",3,"Etc","기타","等","ETC","ETC","etc.","и т. д.","إلخ"
"Action/Adventure","게임","액션/어드벤처","","게임",2,"Action/Adventure","액션/어드벤처","アクションアドベンチャー","动作/冒险","動作/冒險","Acción Aventura","Действие/приключение","عمل مغامرة"
"Racing","게임","레이싱","","게임",2,"Racing","레이싱","レース","赛车","賽車","carreras","гонки","سباق"
"Sports","게임","스포츠","","게임",2,"Sports","스포츠","スポーツ","运动的","運動的","Deportes","виды спорта","رياضات"
"Mobile","게임","모바일","","게임",2,"Mobile","모바일","携帯","移动的","移動的","móvil","мобильный","متحرك"
"Video","게임","비디오","","게임",2,"Video","비디오","ビデオ","视频","影片","video","видео","فيديو"
